00:51:11.060+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h27m30s538ms).
01:55:50.515+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h4m39s455ms).
03:15:44.144+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h19m53s629ms).
04:20:50.635+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h5m6s491ms).
05:26:58.016+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h6m7s381ms).
05:38:33.134+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=11m35s118ms).
06:11:56.306+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=33m23s171ms).
07:19:28.719+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h7m32s414ms).
07:36:04.990+0900 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m36s271ms).
07:39:55.985+0900 [http-nio-9282-exec-7] INFO  com.project1.order.OrderController - regionSelect
07:39:57.756+0900 [http-nio-9282-exec-4] INFO  com.project1.member.MemberController - goSignUp
07:39:57.756+0900 [http-nio-9282-exec-4] INFO  com.project1.member.MemberController - goSignUp
07:39:59.043+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberController - goSignUp
07:39:59.043+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberController - goSignUp
07:40:01.564+0900 [http-nio-9282-exec-4] INFO  com.project1.member.MemberController - callCallBack
07:40:01.564+0900 [http-nio-9282-exec-4] INFO  com.project1.member.MemberController - callCallBack
07:40:01.628+0900 [http-nio-9282-exec-10] INFO  com.project1.member.MemberController - goSignUp
07:40:01.628+0900 [http-nio-9282-exec-10] INFO  com.project1.member.MemberController - goSignUp
07:40:01.701+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberController - naverCheck
07:40:01.701+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberController - naverCheck
07:40:01.722+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberService - serviceNaverCheck
07:40:01.722+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberService - serviceNaverCheck
07:40:01.736+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberController - registered
07:40:01.736+0900 [http-nio-9282-exec-9] INFO  com.project1.member.MemberController - registered
07:40:01.810+0900 [http-nio-9282-exec-7] INFO  com.project1.member.MemberController - goSignUp
07:40:01.810+0900 [http-nio-9282-exec-7] INFO  com.project1.member.MemberController - goSignUp
07:40:04.557+0900 [http-nio-9282-exec-10] INFO  com.project1.member.MemberController - goSignUp
07:40:04.557+0900 [http-nio-9282-exec-10] INFO  com.project1.member.MemberController - goSignUp
08:56:24.147+0900 [http-nio-9282-exec-4] INFO  com.project1.member.MemberController - goSignUp
08:56:24.147+0900 [http-nio-9282-exec-4] INFO  com.project1.member.MemberController - goSignUp
08:56:24.157+0900 [http-nio-9282-exec-10] INFO  com.project1.member.MemberController - goSignUp
08:56:24.157+0900 [http-nio-9282-exec-10] INFO  com.project1.member.MemberController - goSignUp
